City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
419,wamba,8.9333,8.6,84.72,12,68,1.03,NG,1675878590
420,ranong,9.9658,98.6348,75.61,91,13,3.96,TH,1675878591
421,vila do maio,15.1333,-23.2167,74.19,71,100,15.21,CV,1675878591
422,colares,38.7992,-9.4469,55.76,73,75,15.01,PT,1675878591
423,quatre cocos,-20.2078,57.7625,80.1,79,86,10.89,MU,1675878592
424,kizukuri,40.8061,140.3861,29.52,73,100,21.5,JP,1675878592
425,hua hin,12.5707,99.9588,81.39,85,3,8.99,TH,1675878359
426,medicine hat,50.0501,-110.6683,29.71,87,100,13.8,CA,1675878482
427,killin,33.6123,-91.7412,66.29,93,100,10.36,US,1675878593
428,kikwit,-5.041,18.8162,71.62,92,74,8.14,CD,1675878593
429,iskateley,67.6803,53.1512,25.02,87,49,14.29,RU,1675878594
430,kutoarjo,-7.7169,109.9128,74.88,94,100,2.71,ID,1675878594
431,okakarara,-20.5833,17.4333,73.49,63,58,5.97,NA,1675878595
432,martin,27.0837,-80.4164,79.95,63,23,12.84,US,1675878595
433,lima,-12.0432,-77.0282,75.45,78,0,9.22,PE,1675878596
434,lucea,18.451,-78.1736,81.86,69,13,16.55,JM,1675878596
435,oranjemund,-28.55,16.4333,64.87,94,39,6.98,NA,1675878536
436,seymchan,62.8833,152.4333,-35.36,100,100,2.04,RU,1675878596
437,novyy urgal,51.0736,132.5642,-35.72,99,51,1.48,RU,1675878597
438,kholm,59.2667,32.85,31.62,97,100,6.38,RU,1675878597
439,sinnamary,5.3833,-52.95,77.74,88,93,12.66,GF,1675878598
440,tecoanapa,16.5167,-98.75,82.78,55,0,8.72,MX,1675878598
441,santa isabel do rio negro,-0.4139,-65.0192,84.02,81,65,2.08,BR,1675878598
442,brae,60.3964,-1.353,39.31,94,100,22.53,GB,1675878599
443,sobolevo,54.4299,31.8996,20.44,96,99,7.85,RU,1675878599
444,madison,34.7334,-86.5667,69.1,79,100,9.22,US,1675878600
445,isla vista,34.4133,-119.861,71.35,43,0,0.0,US,1675878600
446,tadine,-21.55,167.8833,77.29,88,100,12.03,NC,1675878600
447,vila franca do campo,37.7167,-25.4333,57.61,66,52,10.83,PT,1675878601
448,naze,28.3667,129.4833,61.72,79,75,12.33,JP,1675878601
449,mporokoso,-9.3727,30.125,58.37,96,53,0.72,ZM,1675878603
450,kanniyakumari,8.0833,77.5667,77.79,75,87,10.69,IN,1675878604
451,wembley,-31.9333,115.8,68.68,89,0,0.0,AU,1675878605
452,ler,8.3018,30.1418,83.53,18,3,6.2,SS,1675878606
453,bubaque,11.2833,-15.8333,76.84,65,2,12.44,GW,1675878607
454,pau brasil,-15.4642,-39.6511,91.78,32,96,1.3,BR,1675878608
455,vagamo,61.8751,9.0967,19.71,95,100,5.93,NO,1675878609
456,rapid valley,44.0625,-103.1463,50.05,44,20,15.01,US,1675878611
457,basco,20.4487,121.9702,76.1,76,77,19.37,PH,1675878614
458,okha,53.5739,142.9478,-22.4,96,100,11.79,RU,1675878616
459,cotonou,6.3654,2.4183,85.98,74,20,12.66,BJ,1675878320
